score,objective,bagging_fraction,learning_rate,num_iterations,num_leaves,feature_fraction,boosting_type
0.579,binary;,0.5,0.005,1000,1024,0.5,gbdt
0.583,binary;,1.0,0.005,1000,2048,0.5,gbdt
0.583,binary;,0.8,0.005,1000,2048,0.5,gbdt
0.583,binary;,0.5,0.005,1000,2048,0.5,gbdt
0.589,binary;,0.5,0.05,500,512,0.8,gbdt
0.589,binary;,1.0,0.05,500,512,0.8,gbdt
0.589,binary;,0.8,0.05,500,512,1.0,gbdt
0.589,binary;,0.5,0.05,500,512,1.0,gbdt
0.589,binary;,0.8,0.05,500,512,0.8,gbdt
0.589,binary;,1.0,0.05,500,512,1.0,gbdt
0.590,binary;,1.0,0.05,500,2048,1.0,gbdt
0.590,binary;,0.5,0.05,500,2048,1.0,gbdt
0.590,binary;,0.8,0.05,500,2048,1.0,gbdt
0.591,binary;,0.8,0.05,500,2048,0.8,gbdt
0.591,binary;,0.5,0.05,500,2048,0.8,gbdt
0.591,binary;,1.0,0.05,500,2048,0.8,gbdt
0.592,binary;,0.5,0.05,1000,2048,1.0,gbdt
0.592,binary;,0.8,0.05,1000,2048,1.0,gbdt
0.592,binary;,1.0,0.05,500,512,0.5,gbdt
0.592,binary;,0.5,0.05,500,512,0.5,gbdt
0.592,binary;,0.8,0.05,500,512,0.5,gbdt
0.593,binary;,1.0,0.05,500,1024,1.0,gbdt
0.593,binary;,0.5,0.05,500,1024,1.0,gbdt
0.593,binary;,0.8,0.05,500,1024,1.0,gbdt
0.594,binary;,0.8,0.05,500,1024,0.8,gbdt
0.594,binary;,0.8,0.05,1000,512,0.8,gbdt
0.594,binary;,0.8,0.05,1000,2048,0.8,gbdt
0.594,binary;,0.5,0.05,500,1024,0.8,gbdt
0.594,binary;,1.0,0.05,500,1024,0.8,gbdt
0.594,binary;,0.5,0.05,1000,512,0.8,gbdt
0.594,binary;,1.0,0.05,1000,512,0.8,gbdt
0.594,binary;,0.5,0.05,1000,2048,0.8,gbdt
0.594,binary;,1.0,0.05,1000,2048,0.8,gbdt
0.595,binary;,0.8,0.05,1000,1024,1.0,gbdt
0.595,binary;,1.0,0.05,1000,1024,1.0,gbdt
0.595,binary;,1.0,0.05,1000,512,1.0,gbdt
0.595,binary;,0.8,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.5,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.8,0.05,1000,512,1.0,gbdt
0.595,binary;,0.5,0.05,1000,512,1.0,gbdt
0.595,binary;,1.0,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.5,0.05,1000,1024,1.0,gbdt
0.596,binary;,0.8,0.05,1000,512,0.5,gbdt
0.596,binary;,1.0,0.05,1000,512,0.5,gbdt
0.596,binary;,0.5,0.05,1000,512,0.5,gbdt
0.596,binary;,1.0,0.05,500,2048,0.5,gbdt
0.596,binary;,0.8,0.05,500,2048,0.5,gbdt
0.596,binary;,0.5,0.05,500,2048,0.5,gbdt
0.596,binary;,0.8,0.05,1000,2048,0.5,gbdt
0.596,binary;,1.0,0.05,1000,2048,0.5,gbdt
0.596,binary;,0.5,0.05,1000,2048,0.5,gbdt
0.597,binary;,0.8,0.05,1000,1024,0.5,gbdt
0.597,binary;,1.0,0.05,1000,1024,0.5,gbdt
0.597,binary;,0.5,0.05,1000,1024,0.5,gbdt
0.598,binary;,0.8,0.05,500,1024,0.5,gbdt
0.598,binary;,1.0,0.05,500,1024,0.5,gbdt
0.598,binary;,0.5,0.05,500,1024,0.5,gbdt
